# Product Backlog. Tab-separated, one card per row. Read by 03-seed.sh.
# Columns: id | type | sprint | owner | points | priority | epic | title | stories | files | branch | acceptance | notes | blocks
# Multi-value cells (stories, files, acceptance, blocks) use ';' as the separator. '-' means empty.
# 'notes' is free prose shown as the ## Notes section of the issue. 'blocks' non-empty marks the card a blocker.
# Lines starting with # are ignored. Do not use tabs inside a cell.
id	type	sprint	owner	points	priority	epic	title	stories	files	branch	acceptance	notes	blocks
F-01	chore	1	Arman	1	Must	Platform	Move the SPA into frontend/, update Vite config and Docker paths	-	src/ -> frontend/src/;index.html;vite.config.js;package.json;.oxlintrc.json	refactor/f-01-frontend-dir	npm install and npm run build both succeed from inside frontend/;nothing outside frontend/ imports from src/;the dev server still serves every existing route	The SPA sits at the repository root today, which makes it impossible to give the backend and the frontend separate Dockerfiles. Move it wholesale, then fix the Vite root and the paths in package.json. Do this first - P-01 writes its Dockerfiles against the new layout.	P-01
P-06	bug	1	Arman	2	Must	Platform	Runtime unblock: add axios, fix the broken api imports, remove the /api/api/ double prefix, enable CORS	-	frontend/package.json;frontend/src/context/AuthContext.jsx;frontend/src/components/auth/Register.jsx;frontend/src/components/chat/Chat.jsx;backend/core/urls.py;backend/users/urls.py;backend/core/settings.py	fix/p-06-runtime-unblock	A clean npm install in frontend/ succeeds and the app builds;login resolves to /api/auth/login/ with no repeated segment;a browser call from the Vite dev server to the backend is not blocked by CORS;register then log in works end to end in a real browser	Four separate defects stop the app running at all today. (1) axios is imported by services/api.js but is missing from package.json. (2) AuthContext.jsx, Register.jsx and Chat.jsx import '../api' / '../../api', which does not resolve - the file is at src/services/api.js. (3) core/urls.py mounts users.urls under api/ while users/urls.py already declares api/auth/login/, so login actually lives at /api/api/auth/login/ and the client misses it. (4) django-cors-headers is neither installed nor configured. Nothing on the frontend can be wired until all four are fixed.	A-05;F-02;F-03;U-04;U-06;U-07;U-08
P-01	task	1	Arman	5	Must	Platform	Backend and frontend Dockerfiles; docker-compose.yml bringing up db + backend + frontend + nginx; .env.example	-	backend/Dockerfile;frontend/Dockerfile;docker-compose.yml;.env.example	feat/p-01-docker-compose	On a machine with only Docker installed, git clone then cp .env.example .env then docker compose up serves the app on one port with no manual steps;no service needs a host-installed Python or Node	None of this exists yet. This is the card a grader exercises first - the Sprint-level Definition of Done in execution-plan.md Part 4 is a fresh clone brought up with a single command. Depends on F-01 for the frontend path and pairs with P-03 for the database service.	INT-1;INT-2;INT-3
P-03	task	1	Arman	3	Must	Platform	SQLite to PostgreSQL; settings read from env; requirements.txt; generate the missing Message migration	-	backend/core/settings.py;backend/requirements.txt;docker-compose.yml;backend/users/migrations/	feat/p-03-postgres	docker compose up starts Postgres;migrate runs clean on a completely empty database and the messages table exists afterwards;no db.sqlite3 remains tracked;SECRET_KEY and DEBUG come from the environment	settings.py still points at django.db.backends.sqlite3, SECRET_KEY is the hardcoded django-insecure default and DEBUG is True. There is no requirements.txt at all - the implicit deps are django, djangorestframework, djangorestframework-simplejwt, channels, daphne, pillow, plus psycopg[binary] and django-cors-headers. Critically, Message has NO migration: makemigrations was never run after the model was added, so a fresh migrate never creates its table. Postgres is also what US-9.1 needs - full-text search and a GIN index do not exist on SQLite.	M-01;A-09;M-08
P-04	task	1	Arman	5	Must	Platform	Split backend/users/ into the nine modules of architecture.tex section 5	-	backend/accounts/;backend/messaging/;backend/groups_app/;backend/channels_app/;backend/roles/;backend/media_app/;backend/notifications/;backend/realtime/;backend/scheduling/;backend/common/;backend/core/settings.py;backend/core/urls.py	refactor/p-04-split-modules	Every module in execution-plan.md Part 7 exists with its models;migrate --plan on an existing database shows no destructive operation;the seed command still runs;no module outside roles decides a permission for itself	Profile, Group, MediaFile and Message all live in one users app today, and every endpoint is in users/views.py. architecture.tex section 5 states nine modules and brief Rule 12 grades that alignment, so one app containing every domain is a visible contradiction of our own design document. Two naming traps: the app must not be called channels (collides with the Django Channels package) nor groups (collides with django.contrib.auth.Group) - use channels_app and groups_app. Move without losing data: set an explicit db_table on each model matching its current table name and use migrations.SeparateDatabaseAndState, then inspect migrate --plan before running it.	A-02;A-03;A-04;A-06;A-07;A-08;C-01;M-01;N-01;R-01
R-01	story	1	Arman	3	Must	Roles	Role model with the eight permission booleans, plus migration	US-8.1	backend/roles/models.py;backend/roles/migrations/	feat/us-8-1-role-model	A role is a database row, not a code constant;a channel can hold several differently named roles;each role carries all eight booleans;the migration applies clean on an empty database	US-8.1: 'As a channel super-admin, I want to be able to define different roles with different names for users, so that I can structure the management of the channel.' The eight permissions, fixed by user_stories_en.tex section Assumptions, are can_send_media, can_delete_message, can_create_topic, can_edit_channel, can_remove_member, can_add_member, can_change_role, can_delete_channel. Nothing role-shaped exists in the codebase - the only access check anywhere today is group.admin == request.user.	R-02;R-03;R-04;R-05;C-02;C-03;C-04;F-06;A-10
R-04	story	1	Arman	3	Must	Roles	Permission evaluation service has_permission(user, channel, permission), with the channel owner implicitly holding all eight	US-8.3	backend/roles/services.py;backend/common/permissions.py	feat/us-8-3-permission-service	The check reads database rows, not code;reassigning a role takes effect on the very next request with no restart and no deploy;the channel owner is never refused;a user with no role is refused everything privileged	This is the single most important line in architecture.tex: section 5.1 says no module decides permissions for itself. Messaging, Channels, Groups and Media all call in here. It is what makes brief section 5.8 - access levels manageable without editing code - literally true. If you ever find yourself writing 'if user.id == channel.owner_id' outside this module, stop and call in here instead.	C-02;C-03;C-04;R-05;A-10;F-06
INT-1	task	1	Arman	1	Must	Process	Sprint 1 verification: clean-clone run of the Sprint Goal	-	-	-	Clone into an empty directory;cp .env.example .env and docker compose up;run the seed command;register, log in, edit the profile, view another profile, send direct messages both ways, refresh, log out;walk every merged story against its own acceptance criteria	Run before the 18:00 freeze on Aug 8. Anything that cannot be reproduced from a clean clone goes back to In Progress, carries to Sprint 2 and scores zero - however finished it feels on someone's laptop. Record the result in sprint-calendar.md before the Review starts.	-
G-02	chore	1	Amirhossein	2	Must	Process	Projects v2 board: fields, 4-day Sprint iteration starting Aug 5, views, workflows, milestones	-	GitHub Projects	-	The board is public and reachable from the repo Projects tab;Status reads Backlog, Ready, To Do, In Progress, In Review, Done;the Sprint iteration field exists with Sprint 1 and Sprint 2;the Burn-up insight renders;every seeded card carries points, priority, epic and sprint	Brief Rule 10 makes the board mandatory and it is the evidence a grader actually looks at. Most of it is scripted in scripts/gh/ - run 01-repo.sh then 02-project.sh then 03-seed.sh. Four things have no API and must be done in the browser: the Status option ladder, the Sprint iteration field, the built-in workflows and the views. scripts/gh/README.md is the step-by-step.	every card on the board - until this exists there is nowhere to track work
G-01	chore	1	Amirhossein	1	Must	Process	Repository public; issue and pull request templates committed	-	.github/ISSUE_TEMPLATE/user_story.yml;.github/ISSUE_TEMPLATE/task.yml;.github/ISSUE_TEMPLATE/spike.yml;.github/ISSUE_TEMPLATE/bug.yml;.github/pull_request_template.md	chore/g-01-repo-setup	The repository is publicly visible while logged out (brief Rule 9);filing a new issue offers the four templates and no blank option;the PR template carries the Definition of Done checklist	The templates already exist on disk but have never been committed. There is deliberately no branch protection and no required review - main is open and anyone can merge. The pull request and the teammate review stay in the Definition of Done as a team agreement, not as something the platform enforces.	-
